Orga;DEPT;VILLE;CODE_POSTAL;ilot;label ilot;LATITUDE;LONGITUDE;CODE;SITE_CLIENT;ADRESSE;INDEX
;93 SEINE-ST DENIS;AULNAY-SOUS-BOIS;93600;;AULNAY-SOUS-BOIS_93_1;;;Bat_0117;ACCUEIL PARINOR (93005001); CENTRE COMMERCIAL PARINOR;1
IdF_IdF_Paris;93 SEINE-ST DENIS;AUBERVILLIERS;93300;;AUBERVILLIERS_93_2;;;Bat_0317;AUBERVILLIERS (93104501);25 RUE DE LA MOTTE;2
;93 SEINE-ST DENIS;AUBERVILLIERS;93300;;AUBERVILLIERS_93_1;;;Bat_0318;AUBERVILLIERS ACHILLE DOMART (93155401);10 RUE ACHILLE DOMART;3
;93 SEINE-ST DENIS;AUBERVILLIERS;93300;;AUBERVILLIERS_93_3;;;AUBERVILLIERS BOUTIQUE MILLENAIRE;AUBERVILLIERS MILLENAIRE  (93001401);Centre commercial Millénaire;4
;93 SEINE-ST DENIS;BAGNOLET;93170;;BAGNOLET_93_1;;;Bat_0370;BAGNOLET BATIMENT TECHNIQUE (93006401);7 AVENUE GAMBETTA;5
;93 SEINE-ST DENIS;BAGNOLET;93170;;BAGNOLET_93_1;;;Bat_0371;BAGNOLET.BATIMENT ADMINISTRATIF (93006402);7 AVENUE GAMBETTA;6
;93 SEINE-ST DENIS;BOBIGNY;93000;;BOBIGNY_93_1;;;Bat_0493;BOBIGNY HENRI BARBUSSE (93960101);243 AVENUE JEAN JAURES;7
;93 SEINE-ST DENIS;LA COURNEUVE;93120;;LA COURNEUVE_93_1;;;Bat_1165;LA COURNEUVE EDGAR QUINET (93027701);38 RUE EDGAR QUINET;8
;93 SEINE-ST DENIS;LE BLANC-MESNIL;93150;;LE BLANC-MESNIL_93_1;;;Bat_1254;LE BLANC MESNIL SANTOS DUMONT (93939701);21 BIS RUE DES FRERES LUMIERES;9
;75 PARIS;PARIS 19E;75019;;PARIS_75_19E_4;;;Bat_1836;ORANGE MAC-DONALD (75119601);109 BOULEVARD MAC DONALD;10
;93 SEINE-ST DENIS;SAINT-DENIS;93200;;SAINT-DENIS_93_1;;;ORANGE STADIUM;ORANGE STADIUM (93400101); PLACE DES DROITS DE L HOMME;11
